"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"Entity 1.NumberIn","OUTPUT VALUE","Number In","Entity","Entity 1",10667,10667,10667,10667,10667,10667,10667,10667,10667,10667
"Entity 1.NumberOut","OUTPUT VALUE","Number Out","Entity","Entity 1",10324,10308,10355,10339,10314,10241,10310,10335,10200,10302
"Lote.NumberIn","OUTPUT VALUE","Number In","Entity","Lote",35,35,35,35,35,35,35,35,35,35
"Lote.NumberOut","OUTPUT VALUE","Number Out","Entity","Lote",35,35,35,35,35,35,35,35,34,35
"Maq Colagem.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Colagem",10863,10805,10910,10847,10877,10805,10891,10907,10700,10826
"Maq Colagem.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Colagem",0.7641667299808,0.760189728733279,0.761130853885088,0.760614547907908,0.755590501495256,0.758147898109388,0.759453567512442,0.765250534988634,0.746543362672073,0.757109613099695
"Maq Corte.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Corte",10370,10358,10408,10394,10367,10289,10361,10390,10235,10358
"Maq Corte.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Corte",0.961411421515566,0.94043674176552,0.945325006599292,0.956937300390193,0.953023872648844,0.960117645649428,0.943537729067816,0.97034614438917,0.962805169749494,0.951384794605386
"Operador Inspecao.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Operador Inspecao",10861,10803,10909,10839,10870,10802,10885,10903,10700,10823
"Operador Inspecao.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Operador Inspecao",0.758126919993669,0.743047077987848,0.761325078006477,0.760125683471825,0.753435688997887,0.752125430024733,0.760910811202678,0.756577250682129,0.747981106583153,0.752016346943952
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",10324,10308,10355,10339,10314,10241,10310,10335,10200,10302
"Colagem.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Colagem.Queue",8.25242055493239,8.44462386206278,8.31781417208491,7.6898914388355,7.90025619624606,8.90773180399229,8.7007249837385,6.88809481241623,7.72549488657637,7.9926685065427
"Colagem.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Colagem.Queue",2.27851631389693E-02,2.34358685323727E-02,2.28515178639066E-02,0.021259612828342,2.17830151857381E-02,2.47267716001877E-02,2.39592310171564E-02,1.89321898661872E-02,2.16602660371301E-02,2.21245132787047E-02
"Corte.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Corte.Queue",108.805834605337,108.700017178612,108.568808715843,109.139418922716,107.895660356937,106.90247943866,108.522122536237,110.644449398273,107.646823577767,108.250699088461
"Corte.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Corte.Queue",0.311291409122978,0.31141894660249,0.309871794795705,0.311584791732133,0.308739875221907,0.309955134935429,0.310854222285895,0.316153886278624,0.316608304640492,0.310076537131842
"Entity 1.NVATime","TALLY AVERAGE","NVA Time","Entity","Entity 1",0.206913693903222,0.188100084217321,0.195252556030161,0.199728601361949,0.202222641889775,0.212006773775832,0.191071819913004,0.20442947651694,0.21501922541936,0.199987915139329
"Entity 1.OtherTime","TALLY AVERAGE","Other Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0
"Entity 1.TotalTime","TALLY AVERAGE","Total Time","Entity","Entity 1",1.02000708351027,0.98201245807936,0.999871597397123,1.00311639348898,1.00340851978448,1.03512059101477,0.994384990579866,1.05166276750659,1.09608607896945,0.994903833197177
"Entity 1.TranTime","TALLY AVERAGE","Transfer Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0
"Entity 1.VATime","TALLY AVERAGE","VA Time","Entity","Entity 1",6.51487175995373E-03,6.46772315698194E-03,6.48815405795632E-03,6.51054913261029E-03,6.4698877160584E-03,6.50465115929893E-03,6.5157176231473E-03,6.53843559201597E-03,6.49617864911258E-03,6.47967801497664E-03
"Entity 1.WaitTime","TALLY AVERAGE","Wait Time","Entity","Entity 1",0.806578517847095,0.78744465070506,0.798130887309015,0.796877242994425,0.794715990178645,0.816609166079646,0.796797453043713,0.84069485539764,0.874570674900976,0.788436240042873
"Entity 1.WIP","DSTAT AVERAGE","WIP","Entity","Entity 1",356.538593921969,343.466386846035,349.691065118213,350.755471409391,350.81841160187,361.869478252706,347.718225095914,367.472760905989,382.899485599568,347.901351319874
"Formar Lotes Setup.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Formar Lotes Setup.Queue",148.473968749997,148.473968749997,148.473968749997,148.473968749997,148.473968749997,148.473968749997,148.473968749997,148.473968749997,148.473968749997,148.473968749997
"Formar Lotes Setup.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Formar Lotes Setup.Queue",0.420468750000041,0.420468750000041,0.420468750000041,0.420468750000041,0.420468750000041,0.420468750000041,0.420468750000041,0.420468750000041,0.420468750000041,0.420468750000041
"Inspecao.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Inspecao.Queue",3.45565953890219,2.58846241056043,4.00634975823876,3.38850439017668,3.89987822918594,3.44548353105444,3.82784754542898,2.81258110915269,3.87491479668989,3.52949047412533
"Inspecao.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Inspecao.Queue",9.54508854136325E-03,7.18798947178604E-03,1.10175536481037E-02,9.37410085430651E-03,1.07572264065387E-02,9.56855050528381E-03,1.05480779385725E-02,7.7380721490527E-03,1.08642470935231E-02,9.78299663314148E-03
"Lote.WIP","DSTAT AVERAGE","WIP","Entity","Lote",0.28435930170425,0.243451890972184,0.26027721357029,0.266059978127992,0.26807437598257,0.306393113898856,0.253175738253019,0.321330436474478,0.376565276159468,0.25809171807181
